,x,y
,-25.94724,-44.232983
hcho,3.4831786,-0.40466306
woods,6.1224113,-17.246553
netcdf,6.994314,-23.620533
spiders,2.0972762,-1.3226072
hanging,-37.834335,-17.34584
woody,-31.711012,-13.61447
trawling,8.834448,35.347015
localized,-29.965496,-21.059248
Schuster,5.328648,6.7103486
Adjusting,6.1358466,3.9523435
originality,23.14361,14.234574
microaggregate,16.94671,36.593933
dimethylsulfide,6.9614105,25.067097
Western,-42.812553,-30.636395
alphabetic,22.137655,4.064792
Retreat,-2.7543154,20.37173
Euro,-42.850018,7.683745
phylogeographies,-11.707654,10.286568
PREM,27.906475,14.169677
Shulu,-8.481752,35.532692
stipulate,3.7855325,-1.8313713
pigment,-16.868792,11.714125
cfc,-22.825748,13.684965
appropriation,6.1582513,9.169023
camparis,15.265174,39.280857
fractal,-2.3822985,-32.316795
wooded,-30.550098,-14.3383465
Signatures,18.639881,37.473526
vibrational,-4.805229,-3.8708336
Rayleigh,-18.403446,-20.380157
wooden,-24.855556,17.697247
wednesday,16.234457,10.644485
windthrow,-19.115318,23.625107
reliabilities,20.88359,13.583509
amplifications,-11.76438,-8.13037
tcbc,13.228481,45.083874
Transitions,0.74970907,30.991133
cyanobacteria,-32.814598,-7.855689
lpjml,3.741595,-30.19829
sooty,18.623259,42.869926
inevitably,10.794061,-11.445272
scrapes,17.949661,41.78409
aurignacian,-12.857226,1.7816782
feasibility,23.66133,-32.05018
corer,-12.614625,-11.485523
dataverse,8.948134,-44.928486
sustaining,22.8524,-32.655533
dormancy,-23.316557,-10.944233
errors,11.47766,-31.265163
const,5.674822,19.886713
forsterite,-19.000355,9.31622
Initially,-7.667755,6.737156
cooking,20.652468,-40.147957
Kilimanjaro,46.793743,18.756706
designing,21.995478,-31.368143
replaced,-5.019816,-40.477394
succumb,14.884959,16.791039
shocks,17.366339,-37.25475
perforations,-8.077236,5.444166
submillennial,12.096674,14.244221
affiliated,28.017448,-16.84453
Mauritius,15.291077,-16.09733
Perturbed,23.775782,17.071655
uplifting,-36.308655,6.597265
climbed,28.45654,7.691227
LMPAHs,4.691951,3.0907881
controversy,25.126188,-28.127287
Farther,-37.813198,10.6652565
climber,2.1700754,-27.217642
lmm,34.700462,15.887283
millimetres,44.724876,0.99756247
appropriately,6.159395,-35.288666
topography,-37.778473,-20.406889
projection,1.0609878,-50.507362
sdata,31.050226,9.231838
CFSv,32.890263,20.45244
measurementsThe,-11.144981,-8.174244
lengthen,0.4072367,41.510414
rifting,-35.350803,-18.775871
stern,31.488415,-17.848377
dne,36.36026,3.7080076
dendroecological,7.9040575,3.1612027
dna,-16.116068,-14.8026495
dnc,20.347456,12.934719
insecurity,18.240875,-38.512062
abbreviations,11.67696,-34.573887
CFSR,-1.4745101,-23.609064
lme,5.0158033,-32.02838
music,18.859947,3.8427787
therefore,30.060545,-44.37371
Bighorn,-32.55386,14.781097
distortions,18.585855,4.6077013
GLIMMIX,21.8275,13.060258
SeaBird,22.494179,41.59154
ungulates,8.006403,34.37915
skewness,-22.721912,-33.155846
populations,-30.958948,-9.395786
UNITE,19.090693,14.4656
Yecora,9.920483,14.7762375
Snapshot,17.903765,38.78112
serially,3.161281,-4.744646
unpack,11.791452,10.65287
SPB,-44.560287,7.1733522
circumstances,18.022636,-22.238663
intake,0.27672637,-13.208015
morally,28.99526,-22.689041
locked,-18.415785,-7.943964
RLE,13.527462,42.672142
heathland,-19.792328,22.897612
SPE,40.59255,23.593122
Colombia,-38.159386,-31.759457
coniacian,-26.053644,16.210743
Heshang,-0.1768596,13.377243
RLP,11.664401,16.290792
Lf,17.848553,39.993053
Le,3.4583402,32.849712
Lc,-8.087795,-0.3420786
La,-24.658638,-35.784138
Ln,-48.55877,-3.6850367
Lo,-24.91228,18.141537
Lk,15.818678,41.081123
Li,-48.977943,-3.7047675
Lv,13.925794,21.37557
titanium,-42.723106,-1.3361832
Lt,13.747462,25.278282
Lu,-47.44236,-4.144687
Ls,45.09713,-10.469603
want,32.71617,-29.385244
cookers,16.431059,-5.8360534
tetraether,-36.379883,0.40730378
absolute,-4.7633386,-31.07962
LF,-16.30933,-19.20786
LG,-4.4961224,3.06835
LD,-3.1668944,4.6863146
LE,-4.141212,-46.93266
LC,-47.104664,5.5931892
LA,-28.174698,36.547768
LN,10.733583,38.00911
LO,-12.588669,25.322405
travel,-25.200092,-21.12656
LM,1.251513,-24.832518
copious,-1.7079809,-2.118312
LH,-13.741412,-29.092024
LI,-48.730984,-3.3842158
LW,-18.520668,-24.3196
LT,-4.9515176,-29.727676
LU,-5.5022526,44.043934
LR,-4.7019033,-48.818478
keweenaw,3.484554,-1.350667
LP,0.32439694,45.695168
saskatchewan,-2.2943373,19.52901
canaries,-0.76521313,18.51188
cadence,-8.646628,-18.626934
Zika,9.506407,20.660889
sedt,11.038035,13.310121
SPDLess,36.22756,32.71915
assimilated,-2.005401,-23.046614
Microbial,-33.226997,-5.016782
dinosaurs,-16.041887,16.977259
wrong,30.101475,-23.680958
WarmTemp,1.4086373,35.37474
resmin,17.839321,-1.6028593
CFs,27.177141,28.099316
assimilates,33.08501,31.861032
CFI,1.3568633,-32.549217
CFF,43.359905,18.453817
recombination,-4.784744,-2.1616468
CFE,-8.055413,-2.150275
CFB,-7.292438,9.142662
CFC,-22.816977,13.711408
subplots,-14.135888,42.8824
CFA,-36.404835,-1.527897
OGMELTICE,3.4117324,36.43628
cruncepv,24.557299,25.328558
menlo,4.891,-13.298475
planforms,-13.04875,2.371293
CFS,-0.834556,-23.55326
Even,15.136089,-37.63717
AAAS,6.4283233,7.9803586
welcomed,13.3816,-6.344255
Tmol,-29.98444,31.338158
concurrence,2.6828196,24.878067
cerrado,-30.428358,-14.571924
geochron,13.809392,35.445206
partnered,6.6906457,-1.0737264
ectotherm,-12.595851,10.108014
Robertson,-6.508189,35.19303
activating,-21.918365,9.953658
fir,-29.907312,-12.846852
fis,-2.7860928,41.08803
pluvial,-38.7506,-22.316671
His,29.736176,-3.3233826
ligand,-44.742287,-3.6368358
fit,-1.2516086,-35.51194
bringing,28.470448,-30.526731
fix,-18.714224,-14.424382
nakhlites,18.34669,20.447065
conterminous,-37.226074,-32.524166
Royer,16.303139,2.6735475
isopycnic,24.541502,14.344916
fic,10.852664,16.85774
fia,25.60071,32.02359
fig,-9.363592,-48.076218
fij,13.855972,4.413305
fik,7.770225,15.765372
dTLS,29.937502,40.278984
fin,-4.403947,12.569331
fio,27.603384,17.222086
urms,-0.7642528,37.61932
HIGH,12.374433,50.055096
hypoxic,-17.542784,13.033724
hypoxia,-7.211177,26.965036
effects,-21.980764,-15.987425
multidimensional,-0.007019098,-33.537777
sixteen,37.70426,-10.3727
